id,customer_id,device_fingerprint,device_type,os,first_seen_at,last_seen_at,is_trusted
dev_000000,cust_002005,f1d16fe11b7f414a,tablet,Windows,2025-05-06 15:17:18.182437,2026-07-03 11:08:15.182437,True
dev_000001,cust_001241,5bdb2cae43dd4718,mobile,Windows,2025-09-24 13:23:49.182437,2025-11-01 19:43:41.182437,True
dev_000002,cust_001220,22cb1e5e80d24e93,tablet,Android,2024-10-06 12:31:03.182437,2025-03-03 09:06:37.182437,True
dev_000003,cust_009082,3d496cd4b89e4596,desktop,Windows,2025-04-06 16:27:59.182437,2025-10-16 04:02:08.182437,True
dev_000004,cust_009142,6092bbdf175441ed,desktop,Android,2025-02-18 22:57:05.182437,2025-08-22 21:45:21.182437,True
dev_000005,cust_005406,2ea73577b4e44ef3,desktop,macOS,2024-09-02 19:39:43.182437,2026-03-07 06:11:46.182437,True
dev_000006,cust_003997,254c0b91e202400f,desktop,Windows,2026-04-20 13:57:26.182437,2026-05-28 03:46:07.182437,True
dev_000007,cust_001138,e50ab834762c45e1,tablet,iOS,2025-08-25 07:05:33.182437,2025-08-26 10:06:18.182437,True
dev_000008,cust_001138,2637c40c8afd46d7,tablet,Windows,2025-11-20 10:13:02.182437,2026-01-05 20:12:20.182437,True
dev_000009,cust_000738,ea4bb246b2d94733,desktop,Android,2025-07-09 19:33:37.182437,2026-06-24 23:46:29.182437,True
dev_000010,cust_004189,9bdcf294921243a4,desktop,iOS,2026-08-20 09:28:55.182437,2026-08-28 03:50:00.182437,True
dev_000011,cust_005883,62c4c43213244cc2,mobile,iOS,2026-01-13 02:43:19.182437,2026-07-11 16:48:30.182437,True
dev_000012,cust_000329,435f6bf9358d4555,tablet,Windows,2024-09-06 02:09:26.182437,2025-08-14 11:56:18.182437,True
dev_000013,cust_003038,0f26d8507e594f18,mobile,Android,2024-10-15 12:27:38.182437,2025-07-07 09:19:46.182437,True
dev_000014,cust_001060,9e913908e0d04ad1,tablet,Linux,2026-02-26 09:21:11.182437,2026-03-31 07:49:31.182437,True
dev_000015,cust_001060,a7af2b80feee4d46,tablet,Android,2025-10-31 08:31:58.182437,2026-01-21 18:05:44.182437,True
dev_000016,cust_006081,19e6d9e214474103,tablet,Linux,2026-08-13 16:13:35.182437,2026-08-25 02:25:45.182437,True
dev_000017,cust_000881,980e422f302b4edc,desktop,Linux,2024-11-08 15:13:00.182437,2025-08-26 05:10:12.182437,True
dev_000018,cust_002984,97e7e5aaa83f4a47,tablet,iOS,2025-06-20 10:40:43.182437,2026-06-08 02:06:02.182437,True
dev_000019,cust_003868,e0c6b2d21fdc419c,tablet,macOS,2025-06-18 19:41:54.182437,2026-04-06 01:45:10.182437,True
dev_000020,cust_004874,dbdb4ebfc2224402,desktop,Linux,2024-09-26 08:26:17.182437,2024-12-08 16:03:54.182437,True
dev_000021,cust_004874,a5fdb584794d44e3,tablet,Android,2025-09-16 03:15:30.182437,2026-06-10 21:08:20.182437,True
dev_000022,cust_002093,12dee4c77e81422d,tablet,Android,2026-04-22 02:57:12.182437,2026-04-28 01:13:03.182437,True
dev_000023,cust_002528,407d34f530d5474c,tablet,iOS,2026-04-13 18:25:40.182437,2026-04-24 21:01:25.182437,True
dev_000024,cust_006063,d402b6165a454d22,desktop,Windows,2026-02-12 07:20:25.182437,2026-03-16 21:55:29.182437,True
dev_000025,cust_008080,60a45a8f74d14ba9,desktop,Linux,2026-04-22 07:04:41.182437,2026-08-06 17:51:27.182437,True
