id,transaction_id,customer_id,reason,status,filed_at,resolved_at
disp_000000,txn_0100150,cust_005780,account_compromised,open,2026-08-03 10:04:25.182437,
disp_000001,txn_0095403,cust_009075,account_compromised,resolved,2026-04-09 17:01:28.182437,
disp_000002,txn_0095837,cust_009064,account_compromised,resolved,2026-04-06 11:31:20.182437,
disp_000003,txn_0094963,cust_000003,did_not_receive_goods,open,2026-07-09 12:36:26.182437,
disp_000004,txn_0100439,cust_002132,account_compromised,resolved,2026-05-21 17:22:36.182437,
disp_000005,txn_0098746,cust_004546,did_not_receive_goods,open,2026-04-17 03:40:33.182437,
disp_000006,txn_0095203,cust_004712,unauthorized_transaction,open,2026-07-13 08:21:29.182437,
disp_000007,txn_0098421,cust_002719,unauthorized_transaction,resolved,2026-08-16 13:38:09.182437,
disp_000008,txn_0097447,cust_007873,unauthorized_transaction,resolved,2026-07-18 22:30:27.182437,
disp_000009,txn_0094201,cust_006836,unauthorized_transaction,open,2026-06-16 07:57:07.182437,
disp_000010,txn_0099270,cust_006872,account_compromised,resolved,2026-04-14 02:01:35.182437,
disp_000011,txn_0095461,cust_001276,account_compromised,open,2026-08-02 10:18:16.182437,
disp_000012,txn_0098009,cust_004782,did_not_receive_goods,open,2026-05-20 16:41:27.182437,
disp_000013,txn_0096885,cust_004113,unauthorized_transaction,open,2026-06-20 08:19:26.182437,
disp_000014,txn_0096791,cust_004892,unauthorized_transaction,open,2026-05-15 12:00:28.182437,
disp_000015,txn_0095618,cust_006723,did_not_receive_goods,resolved,2026-04-20 10:07:55.182437,
disp_000016,txn_0096532,cust_001998,did_not_receive_goods,open,2026-05-21 12:49:51.182437,
disp_000017,txn_0098527,cust_007719,unauthorized_transaction,open,2026-06-18 00:13:32.182437,
disp_000018,txn_0096814,cust_001819,account_compromised,resolved,2026-08-20 07:46:26.182437,
disp_000019,txn_0100287,cust_005370,account_compromised,resolved,2026-06-18 04:54:55.182437,
disp_000020,txn_0094231,cust_003628,did_not_receive_goods,resolved,2026-07-14 08:06:31.182437,
disp_000021,txn_0098013,cust_002646,did_not_receive_goods,open,2026-08-11 18:56:46.182437,
disp_000022,txn_0097314,cust_003848,account_compromised,open,2026-05-10 17:29:57.182437,
disp_000023,txn_0094485,cust_000076,unauthorized_transaction,resolved,2026-06-27 04:42:58.182437,
disp_000024,txn_0098877,cust_006330,account_compromised,open,2026-06-08 03:52:57.182437,
disp_000025,txn_0099406,cust_006208,account_compromised,resolved,2026-05-01 07:06:04.182437,
disp_000026,txn_0099166,cust_007248,account_compromised,open,2026-07-07 11:38:07.182437,
disp_000027,txn_0099267,cust_006872,did_not_receive_goods,resolved,2026-04-13 22:59:52.182437,
disp_000028,txn_0095456,cust_008800,account_compromised,resolved,2026-07-17 17:14:13.182437,
disp_000029,txn_0098554,cust_003490,unauthorized_transaction,open,2026-06-18 23:57:36.182437,
disp_000030,txn_0095442,cust_007328,did_not_receive_goods,open,2026-08-18 15:41:14.182437,
disp_000031,txn_0099665,cust_006414,did_not_receive_goods,open,2026-05-24 02:31:57.182437,
disp_000032,txn_0095135,cust_000963,did_not_receive_goods,open,2026-05-27 23:49:26.182437,
disp_000033,txn_0094841,cust_003204,unauthorized_transaction,resolved,2026-06-20 00:13:05.182437,
disp_000034,txn_0096842,cust_008679,unauthorized_transaction,resolved,2026-06-18 02:31:46.182437,
disp_000035,txn_0099265,cust_009558,did_not_receive_goods,open,2026-07-21 00:17:16.182437,
disp_000036,txn_0097107,cust_001687,account_compromised,open,2026-05-11 10:24:50.182437,
disp_000037,txn_0094178,cust_005417,account_compromised,open,2026-06-13 03:48:31.182437,
disp_000038,txn_0098911,cust_001423,account_compromised,open,2026-07-19 00:28:11.182437,
disp_000039,txn_0097693,cust_002274,account_compromised,resolved,2026-07-24 03:14:50.182437,
disp_000040,txn_0097705,cust_009149,unauthorized_transaction,resolved,2026-07-07 18:40:32.182437,
disp_000041,txn_0096557,cust_008837,account_compromised,resolved,2026-07-13 17:46:01.182437,
disp_000042,txn_0095207,cust_004712,did_not_receive_goods,resolved,2026-07-14 06:25:30.182437,
disp_000043,txn_0094183,cust_002390,unauthorized_transaction,resolved,2026-03-10 03:51:24.182437,
disp_000044,txn_0098026,cust_009851,account_compromised,open,2026-04-21 06:59:49.182437,
disp_000045,txn_0095128,cust_000963,unauthorized_transaction,resolved,2026-05-26 22:20:19.182437,
disp_000046,txn_0097636,cust_003323,did_not_receive_goods,resolved,2026-04-05 21:17:52.182437,
disp_000047,txn_0094770,cust_001947,did_not_receive_goods,resolved,2026-07-03 01:37:40.182437,
disp_000048,txn_0100283,cust_001064,account_compromised,open,2026-03-31 01:38:13.182437,
disp_000049,txn_0097666,cust_009701,account_compromised,resolved,2026-08-13 08:27:54.182437,
disp_000050,txn_0097568,cust_000792,account_compromised,resolved,2026-06-13 22:45:08.182437,
disp_000051,txn_0099830,cust_008857,did_not_receive_goods,resolved,2026-04-28 06:09:27.182437,
disp_000052,txn_0100436,cust_002132,account_compromised,resolved,2026-05-22 09:20:48.182437,
disp_000053,txn_0097869,cust_006525,did_not_receive_goods,open,2026-08-18 00:28:58.182437,
disp_000054,txn_0096514,cust_004039,unauthorized_transaction,resolved,2026-08-08 10:06:41.182437,
disp_000055,txn_0095656,cust_000352,account_compromised,resolved,2026-07-12 19:22:56.182437,
disp_000056,txn_0099566,cust_009308,unauthorized_transaction,resolved,2026-05-03 06:50:04.182437,
disp_000057,txn_0099622,cust_006014,did_not_receive_goods,open,2026-08-15 07:31:55.182437,
disp_000058,txn_0100127,cust_006951,did_not_receive_goods,resolved,2026-08-26 15:55:57.182437,
disp_000059,txn_0095994,cust_002666,account_compromised,resolved,2026-05-18 13:42:29.182437,
disp_000060,txn_0098927,cust_004445,did_not_receive_goods,resolved,2026-08-14 15:18:52.182437,
disp_000061,txn_0099949,cust_009073,unauthorized_transaction,open,2026-04-13 07:14:22.182437,
disp_000062,txn_0099628,cust_003785,account_compromised,open,2026-07-13 03:01:18.182437,
disp_000063,txn_0094541,cust_002995,did_not_receive_goods,open,2026-07-23 00:31:24.182437,
disp_000064,txn_0096398,cust_009880,account_compromised,open,2026-07-17 13:06:13.182437,
disp_000065,txn_0096558,cust_008837,account_compromised,open,2026-07-13 09:57:24.182437,
disp_000066,txn_0100157,cust_004693,unauthorized_transaction,resolved,2026-08-17 23:37:37.182437,
disp_000067,txn_0097229,cust_004247,account_compromised,open,2026-07-23 19:04:17.182437,
disp_000068,txn_0094912,cust_007721,account_compromised,resolved,2026-05-06 06:20:36.182437,
disp_000069,txn_0095457,cust_008800,unauthorized_transaction,resolved,2026-07-15 14:23:27.182437,
disp_000070,txn_0100017,cust_005967,unauthorized_transaction,resolved,2026-03-28 16:47:35.182437,
disp_000071,txn_0095927,cust_007466,unauthorized_transaction,open,2026-03-31 04:09:25.182437,
disp_000072,txn_0098787,cust_008137,account_compromised,resolved,2026-06-19 03:04:18.182437,
disp_000073,txn_0099370,cust_008149,account_compromised,open,2026-08-27 06:28:17.182437,
disp_000074,txn_0100240,cust_005175,account_compromised,resolved,2026-04-07 19:20:16.182437,
disp_000075,txn_0098104,cust_001473,account_compromised,open,2026-07-19 22:55:57.182437,
disp_000076,txn_0097238,cust_004247,account_compromised,resolved,2026-07-21 15:39:31.182437,
