id,customer_id,transaction_id,ip_address,ip_country,city,lat,lon,is_vpn,is_proxy,event_at
ipev_0000000,cust_001988,txn_0000000,149.135.36.27,IN,Port Blair,11.6234,92.7265,False,False,2026-04-19 07:32:30.182437
ipev_0000001,cust_002178,txn_0000001,204.87.16.138,IN,Bhopal,23.2599,77.4126,False,False,2026-03-08 05:11:19.182437
ipev_0000002,cust_007177,txn_0000002,9.152.29.243,IN,Pune,18.5204,73.8567,False,False,2026-07-24 18:18:03.182437
ipev_0000003,cust_008140,txn_0000003,25.185.61.179,IN,Ahmedabad,23.0225,72.5714,False,False,2026-04-06 23:24:20.182437
ipev_0000004,cust_006019,txn_0000004,97.242.91.228,IN,Jaipur,26.9124,75.7873,False,False,2026-06-26 17:09:08.182437
ipev_0000005,cust_005687,txn_0000005,134.220.181.60,IN,Chandigarh,30.7333,76.7794,False,False,2026-05-06 06:17:21.182437
ipev_0000006,cust_004640,txn_0000006,174.108.138.231,IN,Lucknow,26.8467,80.9462,False,False,2026-04-23 07:23:13.182437
ipev_0000007,cust_008435,txn_0000007,127.23.146.56,IN,Kolkata,22.5726,88.3639,False,False,2026-03-08 03:08:07.182437
ipev_0000008,cust_009441,txn_0000008,12.233.234.44,IN,Jaipur,26.9124,75.7873,False,False,2026-07-12 17:43:21.182437
ipev_0000009,cust_006371,txn_0000009,120.129.170.234,IN,Hyderabad,17.385,78.4867,False,False,2026-06-18 18:21:55.182437
ipev_0000010,cust_006388,txn_0000010,125.150.84.139,IN,Port Blair,11.6234,92.7265,False,False,2026-05-18 11:22:41.182437
ipev_0000011,cust_000443,txn_0000011,125.200.241.171,IN,Bhopal,23.2599,77.4126,False,False,2026-03-17 16:35:17.182437
ipev_0000012,cust_008806,txn_0000012,129.29.60.27,IN,Guwahati,26.1445,91.7362,False,False,2026-04-12 04:52:43.182437
ipev_0000013,cust_005932,txn_0000013,9.179.88.176,IN,Lucknow,26.8467,80.9462,False,False,2026-04-10 21:07:58.182437
ipev_0000014,cust_000824,txn_0000014,136.113.186.237,IN,Bengaluru,12.9716,77.5946,False,False,2026-04-11 03:01:44.182437
ipev_0000015,cust_009127,txn_0000015,120.252.171.12,IN,Kolkata,22.5726,88.3639,False,False,2026-04-11 14:39:40.182437
ipev_0000016,cust_009936,txn_0000016,168.123.95.68,IN,Hyderabad,17.385,78.4867,False,False,2026-05-17 22:53:07.182437
ipev_0000017,cust_008713,txn_0000017,65.209.17.72,IN,Delhi,28.7041,77.1025,False,False,2026-06-16 08:15:10.182437
ipev_0000018,cust_004937,txn_0000018,27.202.187.84,IN,Port Blair,11.6234,92.7265,False,False,2026-05-21 22:49:53.182437
ipev_0000019,cust_001876,txn_0000019,150.126.100.169,IN,Bhopal,23.2599,77.4126,False,False,2026-05-31 11:00:44.182437
ipev_0000020,cust_004032,txn_0000020,31.152.195.20,IN,Delhi,28.7041,77.1025,False,False,2026-03-27 10:41:31.182437
ipev_0000021,cust_002205,txn_0000021,191.17.159.122,IN,Port Blair,11.6234,92.7265,False,False,2026-08-09 18:53:23.182437
ipev_0000022,cust_008017,txn_0000022,157.218.187.68,IN,Lucknow,26.8467,80.9462,False,False,2026-03-30 15:46:48.182437
ipev_0000023,cust_000546,txn_0000023,192.22.135.51,IN,Ahmedabad,23.0225,72.5714,False,False,2026-06-23 17:52:08.182437
ipev_0000024,cust_008358,txn_0000024,9.85.212.118,IN,Chennai,13.0827,80.2707,False,False,2026-08-17 02:10:02.182437
ipev_0000025,cust_002069,txn_0000025,83.211.86.61,IN,Lucknow,26.8467,80.9462,False,False,2026-04-10 16:20:31.182437
ipev_0000026,cust_006210,txn_0000026,193.140.203.171,IN,Delhi,28.7041,77.1025,False,False,2026-04-07 01:00:16.182437
ipev_0000027,cust_006853,txn_0000027,207.203.4.76,IN,Bhopal,23.2599,77.4126,False,False,2026-05-03 23:10:35.182437
ipev_0000028,cust_006730,txn_0000028,150.16.207.82,IN,Ahmedabad,23.0225,72.5714,False,False,2026-03-18 06:30:18.182437
ipev_0000029,cust_002935,txn_0000029,221.95.206.125,IN,Ahmedabad,23.0225,72.5714,False,False,2026-04-04 22:11:40.182437
ipev_0000030,cust_000016,txn_0000030,20.251.172.30,IN,Guwahati,26.1445,91.7362,False,False,2026-03-24 03:51:25.182437
ipev_0000031,cust_002809,txn_0000031,117.91.39.104,IN,Bengaluru,12.9716,77.5946,False,False,2026-07-12 02:35:37.182437
ipev_0000032,cust_008519,txn_0000032,196.74.66.226,IN,Delhi,28.7041,77.1025,False,False,2026-03-28 20:54:33.182437
ipev_0000033,cust_003451,txn_0000033,140.131.36.142,IN,Lucknow,26.8467,80.9462,False,False,2026-04-18 16:14:36.182437
ipev_0000034,cust_008537,txn_0000034,23.250.207.96,IN,Kolkata,22.5726,88.3639,False,False,2026-05-16 13:00:04.182437
ipev_0000035,cust_005592,txn_0000035,172.132.186.216,IN,Kochi,9.9312,76.2673,False,False,2026-04-01 19:19:41.182437
ipev_0000036,cust_002354,txn_0000036,4.255.110.61,IN,Chandigarh,30.7333,76.7794,False,False,2026-05-24 19:39:25.182437
ipev_0000037,cust_008735,txn_0000037,52.99.241.131,IN,Mumbai,19.076,72.8777,False,False,2026-06-09 12:37:06.182437
ipev_0000038,cust_003450,txn_0000038,163.57.180.214,IN,Chandigarh,30.7333,76.7794,False,False,2026-08-13 20:50:52.182437
ipev_0000039,cust_003705,txn_0000039,107.207.195.165,IN,Chandigarh,30.7333,76.7794,False,False,2026-05-16 07:24:17.182437
ipev_0000040,cust_007707,txn_0000040,151.189.213.86,IN,Chandigarh,30.7333,76.7794,False,False,2026-06-03 05:24:20.182437
ipev_0000041,cust_007043,txn_0000041,13.95.73.125,IN,Chandigarh,30.7333,76.7794,False,False,2026-03-06 15:53:38.182437
ipev_0000042,cust_002748,txn_0000042,52.209.8.72,IN,Port Blair,11.6234,92.7265,False,False,2026-06-29 08:36:37.182437
ipev_0000043,cust_009548,txn_0000043,159.79.18.61,IN,Delhi,28.7041,77.1025,False,False,2026-03-02 20:56:16.182437
ipev_0000044,cust_005259,txn_0000044,37.57.110.206,IN,Port Blair,11.6234,92.7265,False,False,2026-04-22 04:36:20.182437
ipev_0000045,cust_001806,txn_0000045,211.90.255.212,IN,Kochi,9.9312,76.2673,False,False,2026-05-28 01:24:59.182437
