id,name,category,mcc,country,risk_rating,avg_ticket_size,created_at
merch_00000,"Soman, Sunder and Banik Groceries",Groceries,5411,IN,low,2317.54,2026-04-19 06:53:15.182437
merch_00001,"Barad, Mahal and Taneja Crypto/Forex",Crypto/Forex,6051,IN,high,1341.13,2026-01-09 02:15:54.182437
merch_00002,"Nagy, Rajagopal and Grewal Entertainment",Entertainment,7832,IN,low,1486.97,2023-02-25 23:16:10.182437
merch_00003,Sha and Sons Restaurants,Restaurants,5812,IN,low,733.68,2026-05-22 23:38:16.182437
merch_00004,Joshi Inc Travel,Travel,4722,IN,low,428.37,2025-12-27 15:04:43.182437
merch_00005,"Badami, Bhatnagar and Srinivasan Crypto/Forex",Crypto/Forex,6051,IN,medium,627.07,2025-07-23 23:16:40.182437
merch_00006,Gade LLC Fashion,Fashion,5651,IN,low,826.32,2026-04-07 10:54:43.182437
merch_00007,Bahri Ltd Education,Education,8220,IN,low,886.97,2022-09-23 23:06:57.182437
merch_00008,Sathe Group Travel,Travel,4722,IN,low,1173.66,2023-12-14 03:52:26.182437
merch_00009,Kapadia LLC Insurance,Insurance,6300,IN,low,2617.07,2024-08-19 10:49:41.182437
merch_00010,"Kalla, Vasa and Sabharwal Gambling/Gaming",Gambling/Gaming,7995,IN,high,2152.92,2023-05-07 18:05:13.182437
merch_00011,Raju and Sons Insurance,Insurance,6300,IN,low,2032.32,2024-11-15 17:23:00.182437
merch_00012,Iyer-Yogi Jewelry,Jewelry,5944,IN,medium,446.4,2023-01-13 21:00:05.182437
merch_00013,Sekhon-Pandey Fashion,Fashion,5651,IN,low,1941.78,2023-01-19 16:50:21.182437
merch_00014,Chawla Group Groceries,Groceries,5411,IN,low,2571.2,2023-03-23 14:57:05.182437
merch_00015,Srinivasan LLC Education,Education,8220,IN,low,879.85,2024-12-05 16:57:26.182437
merch_00016,Barad-Thakkar Entertainment,Entertainment,7832,IN,low,418.23,2026-04-12 20:58:24.182437
merch_00017,"Raja, Ahuja and Subramaniam Gambling/Gaming",Gambling/Gaming,7995,IN,medium,1839.48,2023-03-30 03:26:34.182437
